"매매일자","종목명","종목코드","구분","대출일자","보유수량","매입단가","매수수량","매도단가","매도수량","매수금액","매도금액","실현손익","손익률","수수료","이자","제세금"
"2026/02/13","RISE 미국S&P500","379780","현금","","122","18,609","1","0","0","21,315","0","0","0","0","0","0"
"2026/02/13","PLUS 고배당주","161510","현금","","34","19,835","0","27,635","1","0","27,635","7,800","39.32","0","0","0"
"2026/02/13","신한지주","055550","현금","","13","50,693","0","104,900","1","0","104,900","53,995","106.51","3","0","209"
"2026/02/13","SK텔레콤","017670","현금","","7","55,365","0","81,000","1","0","81,000","25,472","46.00","2","0","161"
"2026/02/12","RISE 미국나스닥100","368590","현금","","147","22,522","1","0","0","26,805","0","0","0","0","0","0"
"2026/02/11","KODEX 미국AI전력핵심인프라","487230","현금","","36","17,720","2","0","0","37,570","0","0","0","0","0","0"
"2026/02/11","TIGER 미국S&P500타겟데일리커버드콜","482730","현금","","41","11,086","3","0","0","35,620","0","0","0","0","0","0"
"2026/02/11","SOL 미국테크TOP10","481190","현금","","34","13,894","1","0","0","16,145","0","0","0","0","0","0"
"2026/02/11","TIGER 미국테크TOP10 INDXX","381170","현금","","24","27,638","1","0","0","29,775","0","0","0","0","0","0"
"2026/02/11","RISE 미국S&P500","379780","현금","","121","18,586","1","0","0","21,925","0","0","0","0","0","0"
"2026/02/11","RISE 미국나스닥100","368590","현금","","146","22,493","1","0","0","27,095","0","0","0","0","0","0"
"2026/02/11","TIGER 토탈월드스탁액티브","0060H0","현금","","27","11,993","2","0","0","24,810","0","0","0","0","0","0"
"2026/02/11","KODEX 차이나휴머노이드로봇","0048K0","현금","","8","11,128","2","0","0","22,885","0","0","0","0","0","0"
"","","","","","0","0","0","","0","0","0","0","0","0","0","0"
"","","","","","0","0","0","","0","0","0","0","0","0","0","0"
"","","","","","0","0","0","","0","0","0","0","0","0","0","0"
